RASMC_RNA_0H_1	RASMC_RNA_0H_0	RASMC_RNA_PDGF_2H_2	RASMC_RNA_PDGF_2H_0	RASMC_RNA_PDGF_2H_1	RASMC_RNA_PDGF_JQ1_2H_0	RASMC_RNA_PDGF_JQ1_2H_1	RASMC_RNA_PDGF_JQ1_2H_2	RASMC_RNA_PDGF_24H_1	RASMC_RNA_PDGF_24H_2	RASMC_RNA_PDGF_24H_0	RASMC_RNA_PDGF_JQ1_24H_2	RASMC_RNA_PDGF_JQ1_24H_1	RASMC_RNA_PDGF_JQ1_24H_0
En2	0	0	0.101088	0	0	0.211467	0	0	0	0	0	0	0	0
Enah	65.1164	55.3537	157.444	144.32	178.518	112.562	101.133	123.979	76.1782	78.7073	70.5301	40.8803	40.3859	43.338
Enam	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enc1	8.20046	8.27154	31.1719	32.88	38.9667	40.4891	49.535	41.5373	11.0613	11.3454	13.0457	10.9208	9.36797	11.0321
Endog	16.252	9.63551	8.61473	6.59304	11.3843	11.6894	15.4856	15.5715	8.25753	9.9854	12.5858	34.5906	36.5986	32.7959
Endou	4.8535	3.69424	1.88204	3.53084	7.37845	1.36941	1.39805	0.716038	0.207293	0.224001	0	0	0	0.0778788
Eng	46.5187	45.3882	50.1107	42.3922	54.7031	21.2283	21.2792	22.779	90.8108	93.0277	103.556	24.6937	20.3533	22.2165
Engase	1.86352	1.46893	0.560062	0.584022	0	0.445207	1.17559	0.588101	1.79713	1.96243	2.49706	1.33873	1.07695	1.38588
Enho	0.244868	0	0	0.101439	0	0	0	0	0	0	0	0.0936561	0.34442	0.53698
Enkd1	1.6067	2.72874	1.01542	1.42627	0	1.19485	1.16175	0.476009	3.21544	2.20059	2.07431	1.10615	0.823255	1.44963
Enkur	0	2.17628	0	0.303337	0	0	0.720645	0.21091	0.427408	0.846741	0.848385	0.140032	0.128741	0.0802875
Eno1	368.371	196.904	474.846	289.554	495.354	409.874	425.224	450.857	786.681	850.848	877.483	574.668	626.194	578.775
Eno2	0.273268	0.180485	1.2593	0.188674	0.106621	0.131717	0.204909	0.577213	0.99249	0.919276	0.668409	1.18455	0.640612	0.799014
Eno3	37.3225	39.0897	37.9435	47.0622	37.3831	24.1855	22.6921	23.4159	44.1498	48.898	44.0477	31.2075	41.8329	37.0266
Eno4	0.189494	0.362055	0.187123	0.134571	0	0	0.776425	0.0935672	0.316023	0.341496	0.34501	1.08715	1.11373	1.06855
Enoph1	28.0004	36.47	43.492	40.0694	48.439	33.7011	29.0392	36.1506	25.2369	27.2192	26.1921	35.1051	33.8385	33.9162
Enpep	5.52427	4.61934	3.73687	4.57699	4.09328	3.27344	5.47246	2.74443	21.5363	23.1017	18.3404	2.69444	1.62176	2.08946
Enpp1	13.2604	10.6107	40.0557	37.7889	40.5091	23.9157	21.8806	22.4131	37.5382	45.6804	45.613	32.2421	31.9227	30.9646
Enpp2	0.233055	0.138533	0.257756	0.579273	0.654701	0.3033	1.33687	0.281937	0.108828	0.0881997	0	0.106966	0.0245853	0.0306645
Enpp3	0.809348	0.77824	14.5459	14.6143	15.5894	2.37508	2.65066	3.04428	2.66777	2.61255	0.772247	0.600904	0.477121	0.68906
Enpp4	0.082551	0	0.0570628	0.0170988	0	0.059685	0.185701	0.0475552	0.0321235	0.0520692	0	0.110508	0.0725704	0.0905147
Enpp5	0	0	0	0.046002	0	0	0	0	0	0	0	0	0	0
Enpp6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enpp7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ensa	27.611	23.5273	17.7237	19.756	18.2951	32.309	28.5746	27.6029	29.265	30.2354	32.4407	35.83	39.7732	36.8499
Enthd1	0	0	0	0	0	0.287688	0	0	0	0.0313724	0	0	0	0
Enthd2	9.76839	7.52307	7.62306	9.86559	12.6859	8.0421	11.4282	11.4599	9.73889	9.50448	10.0787	9.49044	10.6809	10.4762
Entpd1	0	0	1.9617	0.116273	0.465421	0	0.131539	0	0	0	0	0	0	0
Entpd2	2.54335	2.80767	3.81753	4.15424	0.701724	2.31171	0.735603	1.88376	6.27757	5.13351	5.17792	0.875496	1.22653	1.00394
Entpd3	0	0	0	0	0	0	0.288302	0	0	0	0	0	0	0
Entpd4	12.9683	13.3738	8.80966	8.26678	14.1326	16.4891	12.4015	10.9161	11.5502	10.0837	12.3052	31.428	30.8695	26.4773
Entpd5	6.59712	4.81584	5.54692	3.97953	5.3512	14.114	16.3375	11.0678	5.76487	7.93294	7.64357	29.4821	26.8202	31.7768
Entpd6	4.126	2.96422	2.4932	2.64876	5.90097	2.52875	3.96465	3.54169	4.72102	3.99852	4.93877	4.64024	4.87145	3.84693
Entpd7	1.028	0.206441	1.49802	1.31211	6.04893	2.12932	1.12501	1.00834	1.49201	1.01643	0.257528	0.828879	0.879288	0.255898
Entpd8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eny2	32.945	40.0924	38.627	39.4607	32.5879	48.1182	46.8599	39.6948	25.1887	26.1319	30.5674	34.1892	41.9219	38.2455
Eogt	19.3108	21.4289	16.6638	12.7839	21.4955	4.69958	5.00416	7.41626	16.4288	16.2006	14.8429	12.6358	6.75716	11.5833
Ep400	8.77394	6.59351	8.49008	7.14282	4.81856	13.724	18.2236	15.8437	8.16401	8.26605	7.32638	11.7128	9.92533	12.279
Epas1	2.87638	2.83766	6.41595	4.56603	5.98389	19.2236	24.713	21.0954	12.9519	14.6667	11.7903	9.12476	8.33807	8.36436
Epb4.1l5	24.8069	17.4209	8.38136	6.61184	9.44958	12.0316	10.8546	9.14094	6.31913	5.81397	2.58031	3.72661	3.23037	3.50005
Epb41l1	3.33776	1.74065	1.85401	2.60223	4.64092	2.78794	3.09546	2.65129	4.02962	3.51754	3.91524	1.42727	1.50902	1.70485
Epb41l3	0.042401	0	0	0.0175651	0	0	0	0	0.0164997	0.124808	0	0	0.0149099	0
Epb41l4a	0.30206	0	0	0.375395	0	0	0	0.116005	0.391807	0.211694	0.466631	0.0385103	0.141621	0.13248
Epb41l4b	0.862586	0.824046	0.212949	0.344574	0	0	0	0	0.575421	0.0388627	0	0.141394	0.129994	0.121603
Epb42	0	0.155079	0	0	0	0	0	0	0.0609129	0	0	0	0	0
Epc1	9.78007	10.3447	10.0752	9.35619	7.69547	10.5631	10.1496	10.2778	7.84563	7.52397	6.51207	9.07222	8.32263	7.16913
Epc2	8.16458	7.80166	8.30171	8.85937	10.7898	5.15406	3.70292	5.12819	6.45674	6.06904	6.65228	5.03671	6.33469	4.68981
Epcam	0	0	0.941496	1.51135	1.45193	0.07034	0.24621	0.672538	0	0.0613646	0	0	0	0
Epdr1	25.4441	27.3712	22.4231	22.321	13.0857	14.2665	10.1522	13.725	40.7576	42.8869	49.2632	42.1982	38.5704	40.4715
Epgn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epha1	0.482007	0.865514	0.416479	1.09822	0.740502	0.522741	0.880985	1.90898	0.445468	0.304026	0.302501	0.599158	0.338985	0.713482
Epha10	0.0683493	0	0	0	0	0	0	0	0.0598434	0.0431114	0	0	0	0
Epha2	15.1405	16.6418	135.986	114.989	119.566	135.82	168.793	149.642	22.0457	28.8577	26.1603	56.0353	50.9259	54.0349
Epha3	0	0	0	0	0	0	0	0	0.199767	0	0	0.0245436	0	0
Epha4	1.58528	1.09641	0.51	0.396509	0.402625	0.634356	0.386891	0.499692	0.710001	0.779808	1.50173	1.48723	1.37784	1.07572
Epha5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epha7	0.203509	0.302425	0.365753	0.227626	0	1.64795	1.33907	0.703413	3.3736	2.33622	1.22611	2.59199	2.87678	3.10613
Ephb1	0.0138301	0.0205522	0.0382397	0	0	0.0599954	0	0	0.0807264	0.0174467	0	0.015869	0	0
Ephb2	0.110506	0	0.183327	0.054934	0	1.75772	0	0.878496	0.232209	0.0557614	0.0512138	0.126798	0.256464	0.203559
Ephb3	7.18252	6.94859	7.48617	7.38867	8.09685	13.2904	14.2054	15.8841	6.15268	4.39863	7.07448	4.94117	4.37328	4.94724
Ephb6	2.37468	2.79959	0.766024	1.81008	1.86232	1.7398	1.86967	2.07933	1.75573	1.85731	2.86141	1.39872	0.901832	1.3123
Ephx1	68.8669	53.4283	64.4115	53.678	47.7476	42.389	44.8021	45.9616	103.37	92.5547	108.586	16.962	16.9734	17.8383
Ephx2	4.34101	6.40018	2.88255	2.84615	5.10119	2.52075	1.55706	2.48104	2.59371	2.50094	2.01976	1.56882	1.22598	1.07938
Ephx3	0	0	1.14399	0.324755	0	0.881678	1.02871	0.150535	0.152529	0.0549411	0	0.149919	0	0
Ephx4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epm2a	1.88826	4.35422	1.80034	1.37565	0	0.847379	5.71242	1.23781	1.06417	1.31423	1.73513	1.79308	1.57983	2.39883
Epm2aip1	13.702	15.1347	6.25904	6.72209	7.34794	12.5117	12.0279	10.1316	11.7995	11.7357	10.2432	12.0886	10.0125	11.7112
Epn1	53.0619	67.2318	60.087	54.182	45.9632	47.2696	53.3402	54.4064	61.9838	59.4013	71.7056	50.641	55.8342	53.3894
Epn2	30.8622	30.9445	25.6989	24.0346	24.4973	25.7066	24.5381	23.6586	22.8031	24.1765	23.8652	25.2676	25.1312	25.6351
Epn3	0.0371537	0	0	0	0	0	0	0	0	0	0	0.0213157	0	0
Epo	0	0	0	0	0	0	0	0	0	0.065646	0	0	0	0
Epor	0.234436	0.348384	2.43078	1.21397	0.0686021	0.395497	0.922898	1.21546	0.410522	0.345031	1.94663	0.403498	0.783149	0.0514103
Eppin	0.694597	1.37628	0.800225	0.143872	0	0	0.781259	0.400137	0.946022	1.02228	2.68259	0.929835	0.610619	0.456963
Eprs	93.7741	97.9678	162.682	154.329	170.47	137.052	135.675	134.087	95.0358	98.4564	90.0275	173.075	159.454	169.59
Eps15	25.9026	22.3336	16.2856	15.6012	19.441	36.6885	31.6948	30.289	22.3179	22.3324	19.9222	22.4686	22.6388	23.7874
Eps15l1	24.9481	27.7337	18.8373	17.5758	19.5394	21.9751	24.986	25.6313	23.169	21.8051	19.3285	23.5876	25.3645	25.0655
Eps8l1	0	0	0	0	0	0	0	0.116623	0	0	0	0	0	0
Eps8l2	0.291509	0	0.316648	0.232896	0	0.180654	0	0.0719698	0.194462	0.105068	0.217124	0.334486	0.39538	0.328763
Eps8l3	0	0	0	0	0	0	0	0	0	0	0	0	0.0256609	0
Epsti1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epx	0	0	0	0	0	0	0	0	0	0.155096	0	0	0	0
Epyc	17.854	18.4353	14.8329	13.0215	21.4869	13.6964	15.9804	12.1683	11.3999	8.93511	6.89533	0.336627	0.397911	0.165434
Eqtn	0.865164	0.74998	0.299019	1.25441	0	0.729773	0.364915	1.49519	1.09416	0.181901	0.167066	1.24089	1.06479	2.18184
Eral1	10.9817	12.996	7.33722	7.301	4.98148	4.34399	4.27997	3.05736	8.29994	8.88473	9.01097	9.61333	8.66218	9.66216
Erap1	17.718	18.904	15.0792	20.9478	23.5819	18.5597	17.6319	16.0664	17.56	17.6954	20.308	13.0538	12.0415	13.3501
Eras	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erbb2	2.89291	2.75218	3.49481	2.36884	3.84504	2.36526	2.57723	2.75676	2.55657	2.76264	2.00481	3.08674	3.13734	3.80638
Erbb3	0.0152243	0	0.0841896	0.0567616	0	0.198131	0	0.342041	0.0533188	0.038411	0.0881962	0	0	0.0400632
Erbb4	0.782616	0.498433	0.816986	1.07187	1.26192	0.277145	0.565882	0.276026	1.13738	1.71262	2.07259	0.183265	0.185338	0.336241
Erc1	7.82965	5.19634	6.33174	6.2115	7.64093	10.9371	13.5625	9.82004	7.2768	8.82229	6.34132	9.20204	7.3174	8.65166
Erc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ercc1	21.6739	22.6614	63.7341	54.2229	48.8382	23.7863	33.232	26.1101	85.467	98.4122	89.5683	22.034	23.0876	24.4305
Ercc2	6.14294	8.20499	4.54956	4.52153	3.27418	10.1517	8.54418	8.65733	5.27175	5.97344	3.49512	7.46815	6.92388	6.87988
Ercc3	17.7909	15.5917	10.1606	12.9764	7.96486	14.5487	12.8273	10.862	21.8934	20.7488	21.6406	25.2119	25.3714	25.8428
Ercc6	4.54189	3.54181	2.47433	2.01193	0.915879	3.56343	4.5977	2.73561	3.23383	2.35991	2.6468	4.60263	3.85203	5.30152
Ercc6l	2.31932	2.63284	1.53641	1.4412	0.989761	1.23437	1.1413	1.05774	0.300842	0.365728	0.858414	0.20329	0.254863	0.148345
Ercc8	7.19325	9.30984	6.83575	6.52461	6.03246	5.66159	5.56372	6.44463	5.5603	5.71808	4.74993	6.60197	8.41451	6.77935
Ereg	1.06567	0.143967	8.16994	6.50156	13.6077	3.08193	6.21106	4.68795	0.33929	0.244425	1.01021	0.889292	0.715393	0
Erf	22.9594	27.5646	49.0215	52.3224	54.6054	45.1989	40.089	40.5826	25.5208	27.4899	25.753	46.3676	51.3095	44.5224
Erg	4.84763	4.31096	10.0263	8.82337	1.40738	0.607143	1.48118	0.92353	2.53993	1.58902	2.4766	0.0875956	0.0402666	0
Ergic2	38.3745	30.2891	28.6145	32.6161	41.1701	27.0604	33.7032	30.7827	38.5868	43.0054	36.2589	39.4788	44.906	34.6501
Ergic3	91.8506	85.0992	98.979	95.6722	83.9916	92.6994	84.0723	99.6181	151.061	137.073	137.941	80.5431	90.5299	73.9299
Erh	123.08	120.78	142.227	170.363	181.097	170.648	154.56	149.564	122.202	117.753	137.505	142.067	158.606	153.435
Eri1	9.83318	15.2939	6.24257	8.20399	4.66831	12.3297	10.0932	9.34858	9.84705	9.88897	10.3838	17.9369	18.9571	17.9445
Eri2	4.57673	6.26949	4.5046	3.60467	1.65343	4.30308	3.68605	2.89692	1.64904	2.04332	2.7932	2.9391	2.84121	2.15599
Erich1	9.05273	4.81893	8.59256	5.96113	1.542	7.13132	5.12909	9.45706	10.4105	9.20421	7.59256	15.0384	15.2513	11.1112
Erich2	0	0	0	0.209637	0	0	0	0	0	0.106397	0	0.048388	0.177947	0
Erich4	0.24987	0	0.921175	0	0	0	0	0.431827	0	0.10507	0.67551	0.0955692	0	0
Erich6	0.0692526	0	0	0.344264	0	0.0500701	0.759456	0.0598415	0.28296	0.0436811	0	0.0397312	0	0.04556
Erlec1	52.1472	43.6139	34.5033	37.1109	32.9608	53.0749	44.0209	52.7447	53.2725	51.0113	50.7094	39.7222	52.3086	42.0828
Erlin1	14.9019	16.1196	11.7889	11.221	13.6509	9.51997	12.0596	13.834	12.7363	13.2884	12.7374	12.7343	12.5454	12.4024
Erlin2	17.3319	16.1128	12.8322	10.7954	11.8982	7.27515	7.0332	8.05612	15.0311	15.4915	15.037	11.593	13.5611	14.1583
Ermn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermp1	19.6688	20.1239	14.3306	13.0378	10.3403	17.5023	20.3155	18.1952	13.8965	13.0292	11.8941	13.6157	13.0456	13.3757
Ern1	4.20141	3.93111	8.42063	6.90668	7.64989	18.8045	23.3655	18.2484	3.63315	4.12229	4.76483	18.5436	13.8827	14.8293
Ern2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ero1a	17.3259	21.3998	31.1387	26.9331	25.0343	45.9999	54.0062	46.2396	24.2716	27.5896	28.795	35.1327	42.4575	43.6503
Ero1b	3.40266	5.13314	4.27647	2.3066	2.53453	2.16194	4.34908	2.13837	4.69451	3.70712	5.19679	3.72684	2.66495	1.83154
Erp27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erp29	78.7452	87.9947	95.5532	109.658	90.0788	111.878	105.472	117.666	146.683	153.647	142.232	103.059	123.988	124.875
Erp44	85.6435	94.0992	98.5274	111.406	101.757	118.059	115.031	102.872	103.467	111.104	112.248	80.3234	97.5019	95.1043
Errfi1	2.15656	3.20477	145.816	134.609	148.829	113.504	139.746	122.763	9.50515	10.5212	11.6773	14.6955	14.2303	15.4616
Esam	0.41935	1.52962	1.10679	0.710675	0	0.385882	0	0	1.8692	1.39467	2.60602	0.349946	0.0804327	0.150482
Esco1	8.01006	5.77882	5.76664	6.4231	4.2308	6.5603	8.3272	4.19313	6.88713	8.97265	8.26015	5.11034	6.57413	4.70116
Esd	57.3862	65.821	48.1119	52.6804	46.2777	33.9529	33.3214	43.0093	59.4211	54.5544	59.9837	40.5755	44.5596	41.0817
Esf1	16.9843	16.268	17.5642	19.9206	18.1807	18.8686	15.1495	16.9379	11.1516	12.2192	11.5989	18.1072	17.8969	16.0629
Esm1	9.22784	10.3331	83.327	87.1019	79.5832	13.6255	7.78437	12.8592	93.7294	125.14	95.396	17.7466	16.0073	12.3982
Espl1	3.80854	4.89228	1.87407	1.86806	1.84578	1.28012	1.52471	1.35464	0.871997	0.709621	0.72654	0.126974	0.0778246	0.145602
Espn	0.0196072	0.0291373	0.352386	0.0243675	0	0.708805	0.264642	0.372738	0.160226	0.247345	0	0.134987	0.0620518	0
Espnl	0.0437283	0.129965	1.87406	0.543448	0.0767764	0	0.700874	0.45343	0	0	0	0.0250876	0	0.115072
Esr1	1.037	0.722363	0.761621	1.32904	0	0	0	0	0.30265	0.572329	0.863574	0	0.136744	0
Esr2	0.052067	0	0	0	0	0	0	0	0	0	0	0	0	0
Esrp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esrp2	3.50296	2.89199	2.04025	2.15655	1.1959	1.92295	2.10681	1.68162	3.38887	2.72095	3.77676	1.13511	1.53972	0.896207
Esrra	19.2466	21.486	27.3437	24.1527	18.5172	18.6897	23.4431	23.9055	26.5239	29.2935	30.8568	26.6087	25.7509	25.8181
Esrrb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esrrg	0	0	0	0	0	0	0	0	0	0	0	0.0234841	0	0
Esyt1	85.0618	85.7523	107.86	104.46	103.428	183.337	205.55	191.654	58.3993	54.356	64.0492	130.637	122.905	130.338
Etaa1	4.24101	0.0891845	1.46578	1.88948	0.0351236	0.0289272	0.033751	0.0691449	1.63476	1.817	2.71182	2.18064	0.337654	2.63216
Etf1	78.331	93.8728	179.911	179.283	186.448	172.562	183.667	173.215	79.0436	88.0724	92.5093	134.819	138.034	134.453
Etfa	76.29	64.7125	67.978	80.8324	80.8571	96.4665	62.9471	67.0775	82.3655	84.7194	84.0686	79.4866	86.8241	78.3254
Etfb	45.1295	43.0012	43.4484	51.6803	36.1696	51.4027	46.0721	45.703	52.7962	47.7446	53.1761	52.0028	60.8491	51.6894
Etfdh	20.0297	20.0239	12.335	13.012	8.52543	13.4723	8.75549	12.3777	20.7257	20.214	21.2378	11.7699	11.6854	11.7796
Ethe1	25.4466	33.4151	75.4478	75.5807	73.3395	54.6156	54.6777	59.7424	35.8719	36.5425	31.7081	31.31	31.0648	36.4297
Etnk1	10.9168	11.0596	11.9345	12.1545	12.4455	19.5694	24.6783	19.4039	12.0683	13.9609	13.0833	21.7917	17.0595	21.7716
Etnk2	0.191333	0	0	0.118893	0	0	0	0.330663	0.446726	0.241367	0	0.109771	0	0.251749
Ets1	20.3561	21.0076	119.328	109.426	121.566	145.051	159.665	141.966	21.4569	25.9189	22.2348	26.7147	27.3269	26.0671
Ets2	2.70725	3.3304	56.6616	55.0134	62.4223	59.1357	72.0522	61.3809	5.50464	5.65432	4.38305	7.92025	6.37383	8.23295
Etv1	0.876781	1.06476	0.257186	0.635793	0.0496463	0.149949	0.188318	0.130333	2.23691	2.48264	1.36539	0.256151	0.477361	0.489549
Etv3	13.6759	9.90102	16.7858	12.6927	11.5441	15.6557	13.8292	16.7414	7.16393	7.18842	9.64933	10.4614	7.53716	12.5152
Etv3l	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etv4	11.8219	10.9426	12.2875	10.4024	12.1711	9.39999	6.59992	7.0091	23.7403	26.4522	29.4272	9.34026	10.6202	9.99144
Etv5	6.2745	5.65851	7.78179	6.78968	7.17963	31.0015	36.9812	32.7026	9.56679	11.946	9.49483	18.1983	16.8184	17.5353
Etv6	7.57698	10.9203	13.1596	9.46387	11.4984	5.01022	5.26757	4.73775	6.3118	7.39694	7.19073	5.59216	4.13713	4.40863
Eva1a	1.23251	1.12258	1.97875	2.17409	8.72578	0.172474	1.00618	0.480976	1.34601	1.70528	0.046065	0.04562	0.125825	0.156938
Eva1b	46.9011	51.4435	34.2533	30.6185	19.6065	35.6255	28.0249	27.3802	94.4319	90.5097	99.7055	51.2531	59.49	54.0888
Evc	11.1247	10.1004	5.44871	4.97205	2.79407	5.11843	7.70335	4.93498	9.74028	8.53664	12.045	9.76134	9.63328	10.5476
Evc2	14.1494	12.983	8.86169	9.28408	12.227	3.9822	6.48875	5.27904	14.9845	14.5152	12.2679	7.73637	8.84903	7.28865
Evi2a	0	0	0	0.195178	0	0	0	0	1.95562	2.11326	0.727842	0.120135	0.110449	0
Evi2b	0	0	0	0	0	0	0	0	0	0.218056	0	0	0	0
Evi5	8.80676	8.41212	6.45633	7.35974	7.20567	12.231	11.5708	11.081	8.20959	8.51427	7.55503	10.2051	9.5775	8.50809
Evl	26.8179	23.9891	26.2767	24.7308	23.8368	39.3706	38.5311	39.4045	16.5438	17.2673	17.0658	18.1386	15.3421	16.395
Evpl	0	0	0.143621	0.0774646	0.474237	0.015022	0.0350542	0.107722	0.0242554	0.0262105	0.16851	0.0357605	0.0547955	0
Evx1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ewsr1	3.32478	3.09377	4.59646	4.20922	6.00119	9.43563	3.8794	4.34972	3.62744	3.52785	7.63233	2.42446	6.78529	4.12932
Exd1	0.0189217	0	0	0.0470312	0	0.136805	0	0	0.0220893	0	0.197308	0	0	0
Exd2	9.069	7.31523	8.41498	8.19926	8.03322	5.22784	5.16917	5.47148	10.0864	8.52889	8.23564	6.93736	6.24874	6.26196
Exnef	2.21797	0.667052	1.38714	2.36268	0.973556	2.17632	3.92024	0.547588	0.893914	0.732803	1.86616	0.242378	0.445671	0.555871
Exo1	1.3369	0.805928	0.924123	1.05018	1.46151	0.437701	0.468133	0.806477	0.294473	0.270477	0.160742	0.0723585	0.0266098	0.116163
Exo5	5.80135	2.40589	3.45059	3.1019	4.44148	3.12143	1.65026	3.20597	4.37064	5.02078	5.54921	1.08364	1.77905	1.81954
Exoc1	14.9448	7.66892	7.83551	6.0057	5.65643	8.06617	7.04588	7.52667	14.0688	14.4125	18.0412	15.5737	12.0523	14.8362
Exoc2	12.3489	11.382	7.66213	8.78796	6.78842	6.24982	5.55583	5.64024	15.2399	14.2058	16.6241	16.9359	16.8421	16.8478
Exoc3	21.3698	25.2478	23.7196	20.5252	23.3644	31.143	28.0995	23.4799	19.5734	19.2507	18.2949	21.8954	24.986	23.6393
Exoc3l1	0.370943	0.472492	0.805864	0.296358	0.883889	0.536388	0.0447026	0.183162	1.36098	0.735342	0.184193	0.486435	0.251559	0.104587
Exoc3l4	0.734789	0.176119	0	0.382948	1.12365	0.342747	0	0.0409636	0.33205	0.358815	0	0.10879	0.300055	0.12475
Exoc4	10.0015	10.5495	9.96763	7.8346	10.2245	6.28214	7.54807	9.93629	15.2584	13.5497	12.8731	8.25169	7.00132	7.71088
Exoc5	20.4668	21.0479	23.8867	21.8723	28.9908	35.886	34.1552	34.6874	18.9009	20.8609	17.5558	31.9362	31.656	26.6367
Exoc6	3.37566	4.6529	1.28506	2.28001	1.97561	4.66902	4.16825	3.88923	2.02749	3.0858	5.29984	5.52932	5.80604	6.1152
Exoc6b	11.1184	10.4243	9.26143	9.56058	10.4073	11.7326	14.8726	13.2949	11.4784	11.4154	9.40079	15.8162	12.0004	13.3678
Exoc7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exoc8	11.8774	10.8526	18.4544	15.3262	9.25272	18.0645	22.2504	21.0352	10.0245	9.75268	11.4678	11.4798	13.1787	11.9321
Exog	2.50742	1.21862	2.22378	1.64629	0	5.33604	3.16615	2.61637	1.6753	1.9297	1.7906	3.9266	4.42518	4.06691
Exosc2	15.4202	18.3611	10.6255	10.3981	8.79696	10.9027	10.4229	9.58366	7.72307	8.89787	9.35578	14.1772	16.7802	14.977
Exosc3	7.93667	16.2874	19.5934	16.087	44.6248	12.5695	14.825	17.3086	10.1477	15.3758	14.5597	12.7928	17.8415	18.7721
Exosc4	12.9321	18.2116	14.6959	11.3596	12.4822	7.34292	7.99625	13.9245	21.4203	16.5701	15.9248	20.1992	21.4991	22.8953
Exosc5	15.7487	13.1368	16.0211	15.3254	6.13015	10.2048	9.65056	15.2775	21.3336	18.7425	20.5707	58.2177	64.5734	54.3452
Exosc7	16.6738	15.7375	10.5911	13.908	20.0443	20.2007	14.4458	17.9126	15.3441	16.6756	18.9706	28.4395	28.5235	31.4258
Exosc8	9.35772	9.00734	8.5266	9.0526	11.0155	12.3781	3.76756	6.79964	4.2828	5.6341	2.52571	9.57818	14.5831	9.51424
Exosc9	26.0092	26.2366	18.8121	23.4401	26.1596	23.1013	22.4492	19.2746	24.2805	22.7067	25.7942	31.8201	27.2104	35.5251
Ext1	90.6174	85.6714	135.408	126.919	132.975	168.461	179.573	175.327	82.0479	82.1122	83.081	123.16	126.259	129.12
Ext2	60.984	55.7696	51.7156	48.8337	45.6824	53.9522	64.4587	57.0845	61.8493	59.8187	70.0971	63.4269	63.4913	72.191
Extl1	0.0773867	0.345002	0	0.0721312	0	0.419633	0.293766	0.869313	0.361366	0.146435	0.650049	0.599371	0.326546	0.381835
Extl2	12.7639	11.5434	2.60193	6.25152	11.4154	3.01839	3.9836	2.48381	12.7034	13.2957	9.55503	4.75099	5.30651	3.60198
Extl3	11.8951	10.2531	18.1714	17.4802	13.6238	11.3683	8.42823	9.37638	24.6179	27.6612	23.7685	17.2901	13.5203	16.0014
Eya2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya3	16.2087	12.5115	11.4104	9.08332	9.86451	8.02837	10.3458	11.0845	14.9946	15.576	13.2496	17.5144	15.5254	19.3643
Eya4	0.0180772	0	0	0	0	0	0	0	0	0	0	0	0	0
Ezh1	11.8015	9.26351	3.59776	3.02737	2.60336	3.71933	6.04986	6.2494	9.85597	9.94419	11.5699	9.5658	9.81606	11.009
Ezh2	17.088	15.9588	8.02692	12.877	5.34575	20.2386	20.5076	16.2751	8.34868	7.35426	5.85207	12.4577	12.2002	12.7636
Ezr	19.3446	18.3478	70.1558	61.0723	51.9641	84.401	90.0532	85.7357	34.0045	37.1391	34.5234	49.84	48.0316	54.278
F10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F11r	11.7553	16.2755	8.47905	8.12131	2.30752	10.8219	8.99257	10.978	5.15685	4.32906	5.58333	4.48216	4.58293	3.89081
F12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F13a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F13b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2	0	0	0.0949877	0	0	0	0	0	0	0.0433376	0	0	0	0
F2r	67.356	74.8802	84.9139	83.0234	97.0201	125.178	121.246	121.139	39.1271	38.7775	39.3837	43.805	40.3133	42.1474
F2rl1	0.286384	0	0.730932	0.684448	0.773571	0.19113	1.07785	0.266502	0.231456	0.194532	0.204191	0.227496	0.232393	0.0289856
F2rl2	0	0	0	0	0	0	0	0	0.274125	0.296221	0	0	0	0
F2rl3	0	0	0.566976	0	0	0	0	0.0708763	0	0.051736	0	0.0470577	0	0
F3	13.0029	17.8723	80.2184	91.7175	93.3764	107.055	105.209	102.034	3.55558	2.16738	4.47891	1.88179	2.34795	1.54132
F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F7	0	0	0.22284	0	0	0	0	0	0	0	0	0	0	0
